airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
RKSI,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RKSI,open-meteo,gfs_global,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RKSI,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RKSI,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RKSI,open-meteo,icon_global,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RKSI,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RKSI,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RKSI,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
RPLL,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RPLL,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RPLL,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
RPLL,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RPLL,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RPLL,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
RPLL,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RPLL,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RPLL,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
RPLL,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RPLL,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RPLL,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
SAEZ,open-meteo,ecmwf_ifs025,D-1,3,3,2026-08-04,2026-08-12,2,3,historical-causal
SAEZ,open-meteo,ecmwf_ifs025,D-2+,2,2,2026-08-07,2026-08-13,2,2,historical-causal
SAEZ,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SAEZ,open-meteo,ecmwf_ifs025,Live,4,4,2026-08-03,2026-08-10,3,4,historical-causal
SAEZ,open-meteo,gfs_global,D-1,3,3,2026-08-04,2026-08-12,2,3,historical-causal
SAEZ,open-meteo,gfs_global,D-2+,2,2,2026-08-07,2026-08-13,2,2,historical-causal
SAEZ,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SAEZ,open-meteo,gfs_global,Live,4,4,2026-08-03,2026-08-10,3,4,historical-causal
SAEZ,open-meteo,icon_global,D-1,3,3,2026-08-04,2026-08-12,2,3,historical-causal
SAEZ,open-meteo,icon_global,D-2+,2,2,2026-08-07,2026-08-13,2,2,historical-causal
SAEZ,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SAEZ,open-meteo,icon_global,Live,4,4,2026-08-03,2026-08-10,3,4,historical-causal
SAEZ,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
SAEZ,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
SAEZ,previous-runs,icon_global,D-1,362,362,2025-07-19,2026-07-18,0,362,reconstructed-research
SBGR,open-meteo,ecmwf_ifs025,D-1,3,3,2026-08-04,2026-08-12,1,3,historical-causal
SBGR,open-meteo,ecmwf_ifs025,D-2+,2,2,2026-08-07,2026-08-13,1,2,historical-causal
SBGR,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SBGR,open-meteo,ecmwf_ifs025,Live,4,4,2026-08-03,2026-08-10,2,4,historical-causal
SBGR,open-meteo,gfs_global,D-1,3,3,2026-08-04,2026-08-12,2,3,historical-causal
SBGR,open-meteo,gfs_global,D-2+,2,2,2026-08-07,2026-08-13,2,2,historical-causal
SBGR,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SBGR,open-meteo,gfs_global,Live,4,4,2026-08-03,2026-08-10,2,4,historical-causal
SBGR,open-meteo,icon_global,D-1,3,3,2026-08-04,2026-08-12,2,3,historical-causal
SBGR,open-meteo,icon_global,D-2+,2,2,2026-08-07,2026-08-13,2,2,historical-causal
SBGR,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
SBGR,open-meteo,icon_global,Live,4,4,2026-08-03,2026-08-10,3,4,historical-causal
SBGR,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
SBGR,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
SBGR,previous-runs,icon_global,D-1,362,362,2025-07-19,2026-07-18,0,362,reconstructed-research
UUEE,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
UUEE,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
UUEE,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
UUEE,open-meteo,ecmwf_ifs025,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
UUEE,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
UUEE,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
UUEE,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
UUEE,open-meteo,gfs_global,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
UUEE,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
UUEE,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
UUEE,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
UUEE,open-meteo,icon_global,Live,2,2,2026-08-09,2026-08-10,2,2,historical-causal
UUEE,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
UUEE,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
UUEE,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
VHHH,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
VHHH,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
VHHH,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
VHHH,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
VHHH,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
VHHH,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
VHHH,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
VHHH,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
VHHH,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
VHHH,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
